               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.045448,            0.065364,            0.016448,             0.71383,             0.64427,             0.71969,             0.47919,            0.040641,             0.03663,           0.0094937,              0.0937,              0.0007,              0.0007
                   1,            0.043832,            0.061739,            0.017214,             0.73749,             0.65102,             0.75063,             0.50086,            0.040073,            0.036015,           0.0085636,            0.086485,           0.0014851,           0.0014851
                   2,            0.044756,            0.070136,            0.015992,             0.83081,             0.62458,              0.7574,             0.50501,            0.039821,            0.035409,           0.0078326,            0.079254,           0.0022545,           0.0022545
                   3,            0.044047,            0.062045,            0.013605,             0.82401,             0.64727,             0.76242,             0.50852,             0.04008,            0.035192,           0.0072683,            0.072008,           0.0030079,           0.0030079
                   4,            0.044583,            0.060834,            0.013263,             0.79296,             0.68362,             0.77699,             0.51294,            0.040027,            0.034651,           0.0066988,            0.064746,           0.0037456,           0.0037456
                   5,            0.045178,            0.056122,            0.013644,             0.78009,             0.70547,             0.78979,             0.49498,            0.041846,            0.033265,           0.0061992,            0.057467,           0.0044673,           0.0044673
                   6,            0.045404,            0.050426,            0.013331,             0.74344,             0.72237,             0.78019,             0.46884,            0.043501,            0.033124,           0.0060151,            0.050173,           0.0051733,           0.0051733
                   7,            0.047912,              0.0601,            0.010306,              0.7801,              0.7124,             0.78933,             0.48631,            0.043245,            0.032549,           0.0055108,            0.042863,           0.0058634,           0.0058634
                   8,            0.047653,            0.058388,            0.012411,             0.77624,             0.72156,             0.80242,              0.4727,            0.045333,             0.03258,           0.0053192,            0.035538,           0.0065377,           0.0065377
                   9,            0.046385,            0.054687,            0.010065,             0.74745,             0.76751,             0.80849,             0.52255,            0.043514,            0.031792,           0.0052029,            0.028196,           0.0071961,           0.0071961
                  10,            0.048086,            0.062171,            0.010195,             0.75851,             0.77472,             0.80846,             0.49954,            0.045931,            0.030669,           0.0050891,            0.020839,           0.0078387,           0.0078387
                  11,            0.047314,            0.055049,           0.0098047,             0.76319,             0.76869,             0.79928,             0.51778,            0.043578,            0.030249,           0.0051484,            0.013465,           0.0084655,           0.0084655
                  12,            0.045802,            0.049891,            0.011694,             0.78654,             0.75024,             0.81737,             0.53182,            0.043897,            0.029455,           0.0049917,            0.008812,            0.008812,            0.008812
                  13,            0.047315,            0.055093,            0.011067,             0.80065,             0.77849,             0.82918,             0.54733,            0.041645,            0.029457,           0.0051844,            0.008812,            0.008812,            0.008812
                  14,            0.044979,            0.048298,           0.0098147,             0.81928,             0.75671,             0.82842,             0.54108,            0.042109,            0.029085,           0.0050284,            0.008713,            0.008713,            0.008713
                  15,            0.044276,            0.051295,           0.0093622,             0.83008,              0.7791,             0.83939,             0.52759,            0.041932,            0.029179,           0.0049118,            0.008614,            0.008614,            0.008614
                  16,             0.04629,            0.048846,           0.0097839,             0.80634,             0.79466,             0.84862,              0.5494,            0.039873,            0.029594,           0.0049914,            0.008515,            0.008515,            0.008515
                  17,            0.043518,            0.048615,            0.010093,             0.87752,             0.76595,             0.85688,             0.55755,            0.040594,            0.029525,           0.0048723,            0.008416,            0.008416,            0.008416
                  18,            0.044108,            0.049247,            0.009663,             0.86722,             0.79019,             0.87548,             0.56858,            0.038819,            0.028712,           0.0048084,            0.008317,            0.008317,            0.008317
                  19,            0.042283,            0.049241,            0.010635,              0.8413,             0.79578,             0.86975,             0.56669,            0.041567,            0.028333,           0.0045936,            0.008218,            0.008218,            0.008218
                  20,            0.042889,            0.046831,           0.0098388,             0.84786,             0.83427,             0.87895,             0.55769,            0.039689,            0.028201,           0.0045778,            0.008119,            0.008119,            0.008119
                  21,             0.04546,            0.045628,           0.0089706,             0.83639,             0.82424,             0.87289,             0.57595,            0.039572,            0.027932,           0.0045122,             0.00802,             0.00802,             0.00802
                  22,             0.04307,            0.049735,           0.0092049,             0.80899,             0.85003,             0.88091,             0.57791,            0.038778,            0.027426,           0.0044389,            0.007921,            0.007921,            0.007921
                  23,            0.041557,            0.045804,           0.0080264,             0.80199,             0.82747,             0.87762,             0.57872,            0.038843,             0.02708,           0.0046276,            0.007822,            0.007822,            0.007822
