               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12929,            0.028076,            0.027316,                   0,                   0,                   0,                   0,             0.13206,            0.022331,             0.02356,               0.091,               0.001,               0.001
                   1,             0.11449,            0.027425,            0.016864,           0.0013624,             0.20833,           0.0014437,          0.00020038,              0.1094,            0.021801,           0.0098175,            0.081079,           0.0020792,           0.0020792
                   2,              0.1084,             0.02898,            0.010012,            0.004865,             0.83333,            0.044856,            0.017215,             0.08835,            0.025013,           0.0046181,            0.071137,           0.0031366,           0.0031366
                   3,            0.097484,            0.029267,           0.0063175,            0.003003,             0.58333,           0.0071275,           0.0011589,             0.10727,            0.021244,            0.002784,            0.061172,           0.0041723,           0.0041723
                   4,            0.090832,            0.027522,           0.0045899,           0.0038016,             0.83333,            0.049896,            0.012029,             0.08897,            0.016777,           0.0023357,            0.051186,           0.0051862,           0.0051862
                   5,            0.090584,            0.024643,           0.0038306,            0.003861,             0.91667,             0.19605,            0.056975,            0.087145,            0.015806,           0.0025574,            0.041178,           0.0061782,           0.0061782
                   6,            0.082983,            0.021532,           0.0041836,             0.32956,             0.41667,             0.24173,            0.040547,            0.085558,            0.012127,           0.0026333,            0.031149,           0.0071486,           0.0071486
                   7,            0.082802,             0.01918,           0.0033449,             0.56419,                 0.5,             0.43623,             0.11423,            0.091957,             0.01227,           0.0016018,            0.021097,           0.0080971,           0.0080971
                   8,            0.088567,            0.016809,           0.0034521,             0.74696,               0.625,             0.55667,             0.10928,            0.099749,            0.011665,           0.0022453,            0.011024,           0.0090238,           0.0090238
                   9,             0.09233,            0.014685,           0.0034201,             0.15934,             0.20833,            0.064471,           0.0098209,             0.10991,           0.0088325,           0.0015955,            0.009109,            0.009109,            0.009109
                  10,            0.086406,            0.014876,           0.0041596,             0.17992,             0.33333,             0.11771,            0.022032,            0.095097,            0.011108,           0.0022411,            0.009109,            0.009109,            0.009109
                  11,            0.082479,            0.014068,           0.0038426,             0.48025,             0.83333,             0.71407,             0.21867,            0.091444,            0.010061,           0.0021776,             0.00901,             0.00901,             0.00901
                  12,            0.078526,            0.013995,           0.0041048,             0.40101,             0.66667,             0.46938,             0.13278,            0.089126,            0.012569,           0.0025221,            0.008911,            0.008911,            0.008911
                  13,            0.073816,             0.01511,           0.0034282,             0.35732,             0.79167,             0.47903,             0.17779,            0.077378,            0.014166,           0.0022726,            0.008812,            0.008812,            0.008812
                  14,            0.075067,            0.013527,           0.0028871,             0.44175,               0.875,             0.58862,             0.19971,            0.082203,            0.011053,           0.0018677,            0.008713,            0.008713,            0.008713
                  15,            0.073363,            0.013518,           0.0026011,             0.30679,             0.79167,             0.44212,             0.16734,            0.074098,              0.0112,           0.0015722,            0.008614,            0.008614,            0.008614
                  16,            0.069932,            0.012567,             0.00245,             0.34241,               0.875,             0.50311,             0.21989,            0.065539,            0.012094,             0.00159,            0.008515,            0.008515,            0.008515
                  17,            0.066935,            0.011785,           0.0029182,             0.39885,             0.83333,             0.57036,             0.20166,            0.071436,             0.01233,           0.0014614,            0.008416,            0.008416,            0.008416
                  18,             0.06618,            0.012896,             0.00243,             0.57342,             0.91667,             0.56694,             0.26982,            0.073993,           0.0098085,           0.0012959,            0.008317,            0.008317,            0.008317
                  19,            0.063544,            0.013649,           0.0026929,             0.69409,             0.94565,             0.69022,             0.30016,            0.060688,            0.010516,           0.0014252,            0.008218,            0.008218,            0.008218
                  20,            0.060718,            0.012462,           0.0036945,             0.68986,             0.95833,             0.69303,             0.32075,            0.059291,            0.011103,           0.0014063,            0.008119,            0.008119,            0.008119
                  21,            0.058473,            0.013262,            0.002223,             0.40227,             0.83333,             0.48282,             0.22704,             0.05404,            0.011412,            0.001442,             0.00802,             0.00802,             0.00802
                  22,            0.054507,            0.013493,           0.0025599,             0.43637,             0.91667,             0.58726,             0.29537,            0.058521,            0.011134,           0.0012545,            0.007921,            0.007921,            0.007921
                  23,            0.051865,            0.011635,           0.0022153,             0.69634,             0.95556,             0.79481,             0.34721,            0.050341,           0.0099669,           0.0013353,            0.007822,            0.007822,            0.007822
                  24,            0.052698,            0.012288,           0.0018551,             0.69653,             0.95641,             0.73276,             0.34947,            0.046001,           0.0099273,           0.0012865,            0.007723,            0.007723,            0.007723
                  25,            0.052765,            0.012399,           0.0022583,             0.45564,               0.875,             0.68295,             0.38996,            0.052724,            0.010462,           0.0012009,            0.007624,            0.007624,            0.007624
                  26,            0.046951,            0.011195,           0.0015098,             0.40124,               0.875,             0.58848,             0.28841,            0.051787,            0.011556,            0.001078,            0.007525,            0.007525,            0.007525
                  27,            0.052023,            0.012508,           0.0015714,             0.56541,                0.75,             0.73785,             0.29904,            0.047034,             0.01056,           0.0010988,            0.007426,            0.007426,            0.007426
                  28,            0.050062,            0.011172,            0.002373,             0.64279,               0.875,             0.82364,             0.29411,            0.045177,            0.010456,           0.0010435,            0.007327,            0.007327,            0.007327
                  29,            0.050206,            0.011218,           0.0017889,              0.6283,             0.83333,             0.76469,             0.30387,            0.045121,            0.010968,           0.0010159,            0.007228,            0.007228,            0.007228
                  30,            0.044978,            0.010008,           0.0015849,             0.39013,               0.875,             0.42557,             0.18179,            0.041026,             0.01091,          0.00098572,            0.007129,            0.007129,            0.007129
                  31,            0.046158,            0.010018,           0.0017447,             0.63017,               0.875,             0.74436,             0.27904,            0.041104,           0.0097156,            0.001054,             0.00703,             0.00703,             0.00703
                  32,            0.045523,            0.010112,           0.0016056,             0.66393,             0.91667,             0.77813,             0.34865,            0.036961,           0.0098014,           0.0010208,            0.006931,            0.006931,            0.006931
                  33,            0.044877,            0.010348,           0.0020162,             0.66666,             0.91663,             0.68979,             0.30201,            0.039031,            0.010819,          0.00099545,            0.006832,            0.006832,            0.006832
                  34,            0.046353,            0.010322,           0.0015634,             0.65082,             0.95833,             0.71645,             0.39106,            0.043539,           0.0095444,           0.0010128,            0.006733,            0.006733,            0.006733
                  35,            0.043758,            0.010916,           0.0015841,             0.69134,             0.95833,             0.73716,             0.39378,            0.044979,           0.0098524,           0.0009758,            0.006634,            0.006634,            0.006634
                  36,             0.04713,           0.0094084,           0.0017595,             0.70572,             0.99926,             0.72443,             0.37984,            0.034693,           0.0097189,          0.00097981,            0.006535,            0.006535,            0.006535
                  37,            0.045542,           0.0092943,           0.0014011,             0.70556,             0.99851,             0.72376,             0.37829,            0.039585,           0.0098372,          0.00098343,            0.006436,            0.006436,            0.006436
                  38,            0.043216,           0.0094233,           0.0014137,              0.6999,                   1,             0.71559,             0.36527,            0.035531,            0.010509,          0.00097446,            0.006337,            0.006337,            0.006337
                  39,            0.043519,           0.0087856,           0.0020915,             0.70106,                   1,             0.76684,             0.39612,            0.039507,            0.010032,          0.00091476,            0.006238,            0.006238,            0.006238
                  40,            0.045406,           0.0095552,           0.0011988,             0.70265,             0.98491,             0.71559,             0.35896,            0.041133,             0.01095,          0.00087986,            0.006139,            0.006139,            0.006139
                  41,            0.044188,            0.010309,           0.0019445,             0.69841,                   1,             0.74584,             0.38871,            0.035464,            0.010462,           0.0009203,             0.00604,             0.00604,             0.00604
                  42,            0.039271,           0.0096531,           0.0016454,             0.70069,                   1,             0.73507,             0.37653,            0.041437,            0.011017,          0.00091534,            0.005941,            0.005941,            0.005941
                  43,            0.040539,           0.0092923,           0.0019643,             0.70306,                   1,             0.71912,             0.37383,            0.039395,            0.010306,          0.00087719,            0.005842,            0.005842,            0.005842
                  44,            0.038367,           0.0096407,           0.0020486,               0.705,                   1,             0.75415,             0.37893,             0.04024,             0.01009,          0.00087147,            0.005743,            0.005743,            0.005743
                  45,            0.042667,           0.0094236,           0.0012993,             0.70148,                   1,             0.72735,             0.36524,            0.034281,            0.010426,           0.0008709,            0.005644,            0.005644,            0.005644
                  46,            0.039166,           0.0095947,           0.0016912,             0.70368,             0.98971,             0.71559,              0.3497,            0.038938,            0.011659,          0.00083179,            0.005545,            0.005545,            0.005545
                  47,            0.039176,           0.0086417,             0.00113,             0.69206,             0.95833,             0.73693,             0.35708,            0.034917,            0.011103,          0.00082397,            0.005446,            0.005446,            0.005446
                  48,            0.040629,           0.0091262,           0.0012468,             0.70397,             0.99107,             0.73412,             0.35875,            0.036658,            0.010702,          0.00081253,            0.005347,            0.005347,            0.005347
                  49,             0.04038,            0.009224,           0.0012731,             0.70417,             0.99202,             0.75165,             0.37476,            0.034476,           0.0099678,          0.00080261,            0.005248,            0.005248,            0.005248
                  50,             0.03981,            0.010035,           0.0011413,             0.69225,             0.95833,             0.73171,              0.3472,             0.03692,            0.010078,          0.00073776,            0.005149,            0.005149,            0.005149
                  51,            0.037177,           0.0095233,           0.0019608,             0.70336,                   1,             0.72376,             0.37695,            0.032497,            0.009408,          0.00073929,             0.00505,             0.00505,             0.00505
                  52,            0.038053,           0.0094499,            0.001028,             0.70557,                   1,             0.71559,             0.38124,             0.03406,           0.0097609,          0.00071526,            0.004951,            0.004951,            0.004951
                  53,              0.0364,           0.0092045,           0.0010458,             0.70528,             0.99716,             0.77088,             0.36878,            0.030856,            0.009913,          0.00072498,            0.004852,            0.004852,            0.004852
                  54,            0.036437,           0.0091724,          0.00091143,             0.70352,                   1,             0.77993,             0.33881,            0.037797,            0.010445,          0.00069637,            0.004753,            0.004753,            0.004753
                  55,            0.037374,           0.0093863,           0.0013291,             0.70279,                   1,             0.78994,             0.40878,             0.03388,            0.010715,          0.00068531,            0.004654,            0.004654,            0.004654
                  56,            0.035752,           0.0082455,          0.00093445,             0.70438,             0.99296,             0.78711,             0.40918,            0.032671,            0.010667,          0.00068874,            0.004555,            0.004555,            0.004555
                  57,            0.038221,           0.0086096,           0.0016863,               0.704,             0.99118,             0.73402,             0.38916,            0.033174,            0.010823,          0.00067282,            0.004456,            0.004456,            0.004456
                  58,             0.03686,            0.008954,           0.0032993,             0.70419,                   1,             0.76318,             0.37881,            0.032993,            0.010224,          0.00066214,            0.004357,            0.004357,            0.004357
