               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.14106,            0.025161,            0.024021,                   0,                   0,                   0,                   0,             0.12625,            0.010592,            0.015039,              0.0847,              0.0017,              0.0017
                   1,             0.11732,            0.023537,           0.0085216,          0.00010536,            0.029412,          5.5226e-05,          5.5226e-06,             0.11924,           0.0059059,           0.0081787,            0.068465,           0.0034654,           0.0034654
                   2,             0.10291,            0.019423,           0.0033325,            0.037183,            0.029412,            0.002898,          0.00059146,             0.11627,           0.0075731,           0.0053798,            0.052195,           0.0051951,           0.0051951
                   3,             0.10068,            0.017647,           0.0024357,          0.00032017,            0.029412,           7.301e-05,           7.301e-06,              0.1085,            0.010807,           0.0043089,            0.035889,           0.0068891,           0.0068891
                   4,            0.096859,            0.016897,           0.0023813,          9.8039e-05,            0.029412,          5.3633e-05,          5.3633e-06,             0.10757,           0.0094666,           0.0033099,            0.019548,           0.0085476,           0.0085476
                   5,            0.089414,            0.017918,           0.0038703,                   0,                   0,                   0,                   0,            0.099588,           0.0073016,           0.0023829,            0.009505,            0.009505,            0.009505
                   6,            0.088283,            0.017778,            0.002948,          0.00039833,             0.11765,          0.00023172,          3.3896e-05,            0.099254,           0.0077128,           0.0022652,            0.009505,            0.009505,            0.009505
                   7,            0.080766,            0.016289,           0.0027027,           0.0028366,            0.058824,           0.0007349,          0.00011035,            0.093051,           0.0063796,           0.0014387,            0.009406,            0.009406,            0.009406
                   8,            0.077217,             0.01547,            0.002649,           0.0054616,            0.058824,           0.0011666,          0.00018806,            0.095602,           0.0058341,           0.0013247,            0.009307,            0.009307,            0.009307
                   9,            0.073171,            0.015288,            0.002281,             0.10511,            0.029412,             0.03024,           0.0077041,            0.087692,           0.0049183,          0.00096579,            0.009208,            0.009208,            0.009208
                  10,            0.072689,            0.013406,             0.00247,            0.036664,            0.088235,           0.0075595,           0.0014261,            0.084267,           0.0059304,          0.00082188,            0.009109,            0.009109,            0.009109
                  11,            0.069141,              0.0124,           0.0020285,              0.2451,            0.088235,            0.038272,            0.013422,            0.085068,           0.0032301,          0.00084095,             0.00901,             0.00901,             0.00901
                  12,            0.065164,            0.013062,           0.0019393,             0.60597,            0.088235,            0.089084,            0.026411,            0.086516,            0.004529,          0.00069141,            0.008911,            0.008911,            0.008911
                  13,            0.065748,            0.012677,           0.0017552,              0.3114,             0.11765,             0.10186,            0.025916,            0.082465,           0.0034478,          0.00071154,            0.008812,            0.008812,            0.008812
                  14,            0.064813,            0.012775,           0.0018597,             0.37355,             0.11765,             0.07703,            0.030075,            0.080894,           0.0023483,          0.00069075,            0.008713,            0.008713,            0.008713
                  15,            0.065115,            0.011843,           0.0024882,             0.28453,             0.17647,            0.093727,            0.021132,            0.079161,           0.0018629,          0.00064907,            0.008614,            0.008614,            0.008614
                  16,            0.061278,            0.011543,           0.0019396,             0.30668,             0.17647,             0.12213,            0.047096,            0.080292,           0.0016118,           0.0006032,            0.008515,            0.008515,            0.008515
                  17,            0.060504,            0.011025,           0.0022216,             0.30901,             0.17647,             0.11462,             0.05112,            0.075984,           0.0014581,          0.00056229,            0.008416,            0.008416,            0.008416
                  18,             0.06071,            0.011312,           0.0015383,             0.10005,             0.14706,            0.063099,            0.020591,            0.081765,           0.0013599,          0.00058556,            0.008317,            0.008317,            0.008317
                  19,             0.05618,            0.011033,           0.0014412,              0.2642,             0.14706,             0.12441,            0.065034,            0.073678,           0.0014969,          0.00049219,            0.008218,            0.008218,            0.008218
                  20,            0.056778,            0.010077,            0.001611,             0.38414,             0.20588,             0.14746,            0.061951,            0.075179,           0.0013638,          0.00047135,            0.008119,            0.008119,            0.008119
                  21,            0.057081,            0.010174,           0.0013336,             0.56731,             0.17647,             0.14276,            0.049058,            0.078464,           0.0017745,          0.00044327,             0.00802,             0.00802,             0.00802
                  22,            0.054564,            0.010487,           0.0014739,              0.5431,             0.14706,             0.15295,            0.058635,            0.072024,           0.0018068,          0.00046229,            0.007921,            0.007921,            0.007921
                  23,            0.056955,           0.0097609,           0.0011075,             0.39714,             0.26471,              0.2044,            0.091221,            0.067845,           0.0016719,           0.0004096,            0.007822,            0.007822,            0.007822
                  24,            0.055092,           0.0097365,           0.0013229,             0.28652,             0.20588,             0.11638,            0.030181,            0.067917,           0.0017905,          0.00043416,            0.007723,            0.007723,            0.007723
                  25,            0.053176,            0.009921,           0.0016538,             0.38554,             0.20314,             0.16801,            0.069483,            0.069767,           0.0014099,          0.00045609,            0.007624,            0.007624,            0.007624
                  26,            0.053658,            0.010474,           0.0016941,             0.41674,             0.20588,             0.19047,            0.066077,            0.069965,           0.0012492,          0.00047126,            0.007525,            0.007525,            0.007525
                  27,            0.052073,           0.0099139,           0.0017987,              0.5679,             0.17647,             0.18126,            0.059818,            0.069322,           0.0012321,          0.00048618,            0.007426,            0.007426,            0.007426
