               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13216,            0.028816,              0.0284,                   0,                   0,                   0,                   0,             0.13428,            0.021408,            0.025659,              0.0919,              0.0009,              0.0009
                   1,             0.11787,            0.028809,            0.017502,           0.0020248,             0.33333,           0.0028824,          0.00044793,             0.10766,            0.022579,            0.010794,            0.082881,           0.0018812,           0.0018812
                   2,             0.10823,            0.028116,            0.010682,           0.0037019,               0.625,             0.14151,            0.046043,            0.097528,            0.021608,           0.0056137,            0.073843,           0.0028426,           0.0028426
                   3,             0.10047,             0.03109,           0.0063822,            0.004302,             0.83333,             0.59641,             0.12593,            0.091945,            0.023994,           0.0029318,            0.064784,           0.0037842,           0.0037842
                   4,            0.098589,            0.025835,           0.0042528,           0.0036364,             0.79167,             0.29935,            0.054332,            0.087618,            0.019302,           0.0025478,            0.055706,            0.004706,            0.004706
                   5,            0.089815,            0.026645,           0.0044401,           0.0040953,             0.91667,            0.018186,           0.0033678,            0.082627,            0.016239,           0.0028442,            0.046608,           0.0056079,           0.0056079
                   6,            0.089189,            0.022959,           0.0037908,           0.0056304,             0.95833,             0.23229,            0.039197,            0.087443,            0.013786,           0.0021618,             0.03749,           0.0064901,           0.0064901
                   7,            0.086989,            0.021776,           0.0037488,             0.90957,               0.375,             0.60624,             0.23191,            0.074224,            0.014853,           0.0021042,            0.028353,           0.0073525,           0.0073525
                   8,            0.087256,             0.01821,           0.0041119,              0.1466,             0.20833,            0.056103,           0.0083124,            0.099324,            0.014084,            0.002043,            0.019195,           0.0081951,           0.0081951
                   9,            0.091445,            0.017748,           0.0040375,             0.21527,               0.375,             0.16569,            0.026439,            0.092864,            0.013459,           0.0021399,            0.010018,           0.0090179,           0.0090179
                  10,            0.080923,            0.018089,           0.0043206,             0.68518,             0.83333,             0.81807,             0.31817,            0.078453,            0.012846,           0.0015881,             0.00901,             0.00901,             0.00901
                  11,            0.081801,            0.018126,           0.0031171,             0.83222,             0.83333,             0.85422,             0.33665,            0.083882,            0.011995,           0.0016823,             0.00901,             0.00901,             0.00901
                  12,            0.079385,            0.015407,           0.0032863,             0.73671,             0.69982,             0.74085,             0.18992,            0.083696,            0.010717,           0.0013718,            0.008911,            0.008911,            0.008911
                  13,            0.072351,            0.017315,           0.0029758,             0.47872,               0.625,             0.69214,             0.24703,            0.073611,             0.01312,           0.0014709,            0.008812,            0.008812,            0.008812
                  14,            0.069439,            0.015586,           0.0030258,             0.25423,             0.66667,             0.34148,            0.086527,            0.080222,            0.011602,           0.0016891,            0.008713,            0.008713,            0.008713
                  15,             0.06696,            0.016826,           0.0027637,             0.27192,             0.83333,             0.50047,             0.13223,             0.07263,            0.013797,           0.0020174,            0.008614,            0.008614,            0.008614
                  16,            0.064658,            0.014992,           0.0027831,              0.6089,             0.51947,             0.70068,             0.36397,            0.065655,             0.01016,           0.0016619,            0.008515,            0.008515,            0.008515
                  17,            0.064617,            0.014295,           0.0026091,             0.45064,              0.8547,             0.67536,             0.23924,            0.062275,            0.011906,           0.0017473,            0.008416,            0.008416,            0.008416
                  18,            0.059797,            0.014899,           0.0023756,             0.43828,             0.91039,              0.5803,             0.21588,            0.058107,            0.011027,           0.0017838,            0.008317,            0.008317,            0.008317
                  19,            0.061697,            0.013735,           0.0025714,             0.61069,               0.875,             0.66456,             0.26731,            0.048664,            0.011812,           0.0015177,            0.008218,            0.008218,            0.008218
                  20,             0.05846,            0.013126,            0.002855,             0.47049,               0.875,             0.51675,             0.20594,            0.054387,            0.011288,           0.0015137,            0.008119,            0.008119,            0.008119
                  21,            0.057311,            0.014175,           0.0023999,             0.58181,               0.875,             0.58745,             0.22169,            0.053587,            0.011235,           0.0016521,             0.00802,             0.00802,             0.00802
                  22,            0.056241,            0.012338,           0.0021489,             0.66614,               0.875,             0.71972,             0.27672,            0.048485,            0.010783,           0.0015448,            0.007921,            0.007921,            0.007921
                  23,            0.056419,             0.01264,           0.0028253,             0.51138,               0.875,             0.61905,             0.30841,            0.047659,            0.010167,           0.0014397,            0.007822,            0.007822,            0.007822
                  24,            0.052912,            0.011037,           0.0021475,             0.58696,             0.88842,             0.64362,             0.34293,            0.052984,           0.0098329,           0.0014523,            0.007723,            0.007723,            0.007723
                  25,            0.051807,            0.012723,           0.0023877,             0.70371,             0.91667,              0.7831,             0.37308,            0.052039,            0.010756,           0.0013676,            0.007624,            0.007624,            0.007624
                  26,            0.050131,            0.011131,           0.0018561,             0.60646,             0.91667,             0.79224,             0.39402,            0.057407,            0.010903,           0.0013197,            0.007525,            0.007525,            0.007525
                  27,            0.052729,             0.01167,           0.0019726,             0.69902,             0.91667,             0.79603,             0.36261,            0.053139,            0.010669,           0.0012178,            0.007426,            0.007426,            0.007426
                  28,            0.052948,             0.01093,           0.0020455,             0.53164,             0.91667,             0.64274,             0.29952,            0.045095,            0.010778,            0.001169,            0.007327,            0.007327,            0.007327
                  29,            0.050391,            0.011587,            0.002468,             0.75963,               0.875,             0.72785,             0.29895,            0.051805,            0.011066,           0.0012325,            0.007228,            0.007228,            0.007228
                  30,             0.05196,            0.010708,           0.0018754,             0.79791,             0.91667,             0.79175,             0.30324,            0.049495,            0.011837,           0.0011942,            0.007129,            0.007129,            0.007129
                  31,            0.050137,             0.01038,           0.0017048,             0.69575,             0.95297,             0.69022,             0.35464,            0.042736,            0.010219,           0.0011139,             0.00703,             0.00703,             0.00703
                  32,            0.048055,            0.010234,           0.0016138,             0.66718,             0.95833,             0.69155,             0.36163,            0.041309,           0.0097075,           0.0010923,            0.006931,            0.006931,            0.006931
                  33,            0.048053,            0.011768,           0.0015711,             0.78863,                   1,             0.82345,              0.4641,            0.042958,           0.0096402,           0.0011654,            0.006832,            0.006832,            0.006832
                  34,            0.048133,            0.010344,             0.00165,             0.77416,             0.95833,             0.78163,             0.40554,            0.040798,           0.0097942,           0.0010998,            0.006733,            0.006733,            0.006733
                  35,             0.04397,           0.0099523,           0.0024728,             0.71085,             0.95833,             0.80097,             0.43686,            0.043923,            0.010306,           0.0010386,            0.006634,            0.006634,            0.006634
                  36,            0.048485,            0.010205,           0.0014544,             0.67356,             0.95833,             0.74786,             0.40011,            0.043204,            0.010316,           0.0010048,            0.006535,            0.006535,            0.006535
                  37,            0.045032,            0.010341,           0.0020755,             0.74784,             0.95833,              0.8127,             0.43879,            0.045602,            0.011193,           0.0010216,            0.006436,            0.006436,            0.006436
                  38,            0.045033,            0.010423,           0.0023228,             0.72845,             0.91667,             0.80203,             0.45388,            0.044887,             0.01109,           0.0010323,            0.006337,            0.006337,            0.006337
                  39,            0.044407,           0.0098561,           0.0020859,             0.71965,                   1,             0.81646,             0.43811,            0.037219,            0.010415,           0.0010408,            0.006238,            0.006238,            0.006238
                  40,            0.044749,            0.011141,           0.0014185,             0.76276,                   1,             0.82345,             0.46652,            0.045578,            0.010915,           0.0010113,            0.006139,            0.006139,            0.006139
                  41,             0.04484,            0.010186,           0.0016063,             0.69775,             0.96197,              0.8127,             0.44034,              0.0425,            0.011119,           0.0010489,             0.00604,             0.00604,             0.00604
                  42,            0.041625,            0.010812,           0.0014195,             0.67324,             0.95833,             0.74635,             0.39778,            0.043598,            0.010827,           0.0010567,            0.005941,            0.005941,            0.005941
                  43,            0.041958,           0.0091166,           0.0016146,             0.70582,                   1,             0.77261,             0.42724,            0.040348,            0.010345,           0.0010309,            0.005842,            0.005842,            0.005842
                  44,            0.042036,           0.0091462,           0.0020595,             0.68331,                   1,             0.75853,             0.39779,            0.044446,            0.010076,           0.0010374,            0.005743,            0.005743,            0.005743
                  45,            0.044085,            0.010177,           0.0028313,             0.70345,                   1,             0.78314,              0.3677,            0.038054,            0.010157,           0.0010229,            0.005644,            0.005644,            0.005644
                  46,            0.043277,           0.0096034,           0.0019065,             0.70165,                   1,              0.7827,             0.36811,            0.042824,            0.010047,           0.0010323,            0.005545,            0.005545,            0.005545
                  47,            0.044732,           0.0099273,           0.0013027,              0.7034,                   1,             0.76222,             0.42119,            0.036008,           0.0096593,          0.00098648,            0.005446,            0.005446,            0.005446
                  48,            0.040869,           0.0099457,           0.0018416,             0.70346,                   1,             0.74948,             0.41928,            0.037016,           0.0098939,          0.00094585,            0.005347,            0.005347,            0.005347
                  49,            0.041449,           0.0087288,           0.0018328,             0.70503,               0.996,             0.75004,             0.41206,            0.040567,            0.010306,          0.00092239,            0.005248,            0.005248,            0.005248
                  50,            0.043363,           0.0094383,           0.0019162,             0.70174,                   1,             0.83206,             0.44891,            0.040539,           0.0096197,          0.00093517,            0.005149,            0.005149,            0.005149
                  51,            0.042519,           0.0092292,           0.0020325,             0.69834,                   1,             0.84056,              0.3652,            0.044228,            0.010035,          0.00093575,             0.00505,             0.00505,             0.00505
                  52,             0.03896,           0.0090105,           0.0023019,             0.69956,                   1,             0.83263,             0.43929,            0.041609,           0.0098972,          0.00094547,            0.004951,            0.004951,            0.004951
                  53,            0.040264,           0.0099666,           0.0021426,             0.70767,             0.95833,             0.87767,             0.47832,            0.031195,            0.010528,          0.00088367,            0.004852,            0.004852,            0.004852
                  54,             0.04084,            0.009696,           0.0011317,             0.71455,             0.95833,             0.87767,             0.48331,            0.030926,            0.010566,          0.00086651,            0.004753,            0.004753,            0.004753
                  55,            0.040084,           0.0097537,           0.0011672,             0.70264,                   1,             0.87247,             0.48951,            0.034007,              0.0101,          0.00088596,            0.004654,            0.004654,            0.004654
                  56,            0.038611,           0.0088163,           0.0011062,             0.70071,             0.97583,             0.85413,              0.4167,            0.034452,            0.010104,           0.0008831,            0.004555,            0.004555,            0.004555
                  57,            0.038903,           0.0094543,           0.0010703,             0.70739,             0.95833,             0.86408,              0.4834,            0.036051,           0.0096416,          0.00082932,            0.004456,            0.004456,            0.004456
                  58,            0.036944,            0.009549,           0.0018528,             0.69873,             0.96656,             0.82348,              0.4611,            0.039172,           0.0095525,          0.00080929,            0.004357,            0.004357,            0.004357
